track_id,track_name,artist,genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
t71,Track 71,Artist P10,pop,76.0,0.686,0.795,-4.91,0.07,0.423,0.0,0.676,129.48,122601
t72,Track 72,Artist T5,hip-hop,57.0,0.598,0.676,-8.02,0.292,0.0,0.16,0.499,97.89,215526
t73,Track 73,Artist X2,rock,53.0,0.906,0.927,-5.0,0.051,0.0,0.044,0.416,139.96,141114
t74,Track 74,Artist G15,hip-hop,61.0,0.563,0.345,-14.16,0.378,0.106,0.161,0.577,68.33,182172
t75,Track 75,Artist S13,pop,61.0,0.593,0.795,-2.8,0.051,0.0,0.238,0.456,124.17,279554
t76,Track 76,Artist D0,rock,59.0,0.445,0.895,-1.47,0.063,0.135,0.053,0.559,104.3,105520
t77,Track 77,Artist E15,pop,58.0,0.802,0.748,-2.35,0.089,0.002,0.407,0.756,139.64,225213
t78,Track 78,Artist A4,country,42.0,0.514,0.712,-6.95,0.079,0.405,0.225,0.53,114.3,141504
t79,Track 79,Artist O5,reggaeton,70.0,0.66,0.88,-1.9,0.067,0.153,0.198,0.509,182.76,331335
t80,Track 80,Artist D0,edm,74.0,0.858,0.652,-7.89,0.124,0.071,0.057,0.804,,226628
t81,Track 81,Artist T13,pop,87.0,0.815,0.38,-13.02,0.038,0.326,0.012,0.627,147.02,182573
t82,Track 82,Artist P9,folk,55.0,0.335,0.284,-17.49,0.152,0.927,0.0,0.463,107.96,265863
t83,Track 83,Artist X7,edm,83.0,0.753,0.753,-7.42,0.046,0.074,0.0,0.454,119.88,211791
t84,Track 84,Artist Y13,k-pop,61.0,0.808,0.98,-0.74,0.182,0.559,0.0,0.501,109.09,321346
t85,Track 85,Artist T6,pop,59.0,0.79,0.818,-3.96,0.0,0.187,0.177,0.682,115.82,271638
t86,Track 86,Artist C15,indie,70.0,0.606,0.447,-15.09,0.141,0.186,0.022,0.336,117.25,239809
t87,Track 87,Artist T1,pop,65.0,0.766,0.686,-8.14,0.026,0.391,0.256,0.539,113.5,214966
t88,Track 88,Artist P6,rock,66.0,0.579,0.834,-4.25,0.04,0.074,0.0,0.864,167.75,267548
t89,Track 89,Artist Y4,classical,45.0,0.257,0.227,-20.34,0.037,0.554,0.556,0.309,128.41,166436
t90,Track 90,Artist H3,pop,64.0,0.374,0.54,-12.39,0.098,0.026,0.0,0.886,136.24,127701
t91,Track 91,Artist W11,edm,38.0,0.729,1.0,-0.83,0.077,0.102,0.398,0.375,111.11,259920
t92,Track 92,Artist N6,edm,59.0,0.581,0.797,-5.41,0.013,0.032,0.0,0.302,186.33,278701
t93,Track 93,Artist U1,hip-hop,79.0,0.676,0.537,-11.09,0.288,0.339,0.0,0.706,86.7,117015
t94,Track 94,Artist L8,rock,85.0,0.696,1.0,0.0,0.073,0.0,0.0,0.656,97.1,152802
t95,Track 95,Artist F3,pop,59.0,0.64,0.534,-9.85,0.0,0.159,0.05,0.63,112.02,278213
t96,Track 96,Artist G2,jazz,85.0,0.454,0.263,-16.62,0.0,0.793,0.11,0.563,175.12,348550
t97,Track 97,Artist H6,indie,38.0,0.583,0.402,-13.19,0.056,0.313,0.0,0.403,102.58,254694
t98,Track 98,Artist R9,k-pop,56.0,0.876,0.773,-5.38,0.062,0.216,0.202,0.741,119.66,202360
t99,Track 99,Artist K4,edm,55.0,0.588,0.855,-4.29,0.033,0.0,0.0,0.428,97.9,278527
t100,Track 100,Artist L9,indie,73.0,0.647,0.739,-3.14,0.143,0.109,0.541,0.363,126.92,210247
t101,Track 101,Artist H13,classical,28.0,0.393,0.273,-14.98,0.086,0.77,1.0,0.159,91.48,206312
t102,Track 102,Artist H6,r&b,57.0,0.837,0.616,-12.2,0.083,0.212,0.0,0.372,92.07,242186
t103,Track 103,Artist R13,hip-hop,65.0,0.691,0.736,-9.06,0.31,0.135,0.094,0.223,163.3,78711
t104,Track 104,Artist K14,hip-hop,62.0,0.768,0.659,-9.84,0.368,0.0,0.229,0.523,102.66,223618
t105,Track 105,Artist U5,lo-fi,50.0,0.79,0.526,-10.88,0.093,0.8,0.494,0.424,141.1,128008
t106,Track 106,Artist J15,blues,44.0,0.386,0.189,-14.62,0.03,0.546,0.13,0.61,115.75,198642
t107,Track 107,Artist O9,pop,84.0,0.675,0.963,-5.59,0.094,0.0,0.0,0.445,84.48,288316
t108,Track 108,Artist U0,k-pop,46.0,0.669,0.699,-5.06,0.162,0.201,0.182,0.765,151.95,281124
t109,Track 109,Artist F9,pop,84.0,0.623,0.747,-8.4,0.093,0.364,0.235,0.535,158.44,249960
t110,Track 110,Artist J6,hip-hop,52.0,0.712,0.559,-7.56,0.452,0.003,0.0,0.586,104.42,141910
t111,Track 111,Artist U5,blues,51.0,0.414,0.514,-12.6,0.042,0.692,0.116,0.362,123.0,256246
t112,Track 112,Artist K13,hip-hop,81.0,0.772,0.868,-2.59,0.294,0.157,0.0,0.68,153.48,229719
t113,Track 113,Artist U3,r&b,46.0,0.743,0.76,-6.0,0.0,0.491,0.368,0.793,76.4,139243
t114,Track 114,Artist J1,jazz,32.0,0.7,0.657,-8.0,0.078,0.632,0.372,0.464,122.91,178155
t115,Track 115,Artist Y0,jazz,54.0,0.578,0.264,-13.7,0.044,0.801,0.174,0.49,73.48,276419
t116,Track 116,Artist R7,rock,40.0,0.753,0.813,-8.19,0.082,0.202,0.006,0.546,158.07,318424
t117,Track 117,Artist R5,hip-hop,89.0,0.888,1.0,-3.97,0.317,0.407,0.106,0.648,155.43,135925
t118,Track 118,Artist R6,hip-hop,44.0,0.587,0.546,-12.79,0.219,0.191,0.0,0.422,82.55,180592
t119,Track 119,Artist S1,r&b,48.0,0.981,0.611,-7.17,0.183,0.03,0.0,0.398,111.93,190380
t120,Track 120,Artist P3,r&b,51.0,0.474,0.596,-8.12,0.114,0.123,0.0,0.616,99.99,247332
t121,Track 121,Artist E10,lo-fi,57.0,0.299,0.264,-12.09,0.012,0.499,0.791,0.585,56.66,366799
t122,Track 122,Artist I10,jazz,73.0,0.644,0.226,-10.28,0.025,0.521,0.344,0.046,137.83,319084
t123,Track 123,Artist V8,rock,82.0,0.34,0.777,-9.42,0.07,0.118,0.028,0.104,120.57,150516
t124,Track 124,Artist L5,classical,28.0,0.183,0.401,-15.26,0.087,0.819,0.927,0.514,110.19,130749
t125,Track 125,Artist B14,r&b,65.0,0.508,0.415,-7.8,0.122,0.078,0.0,0.782,131.53,167022
t126,Track 126,Artist L2,pop,77.0,0.593,0.791,-6.64,0.023,0.127,0.07,0.29,78.17,201319
t127,Track 127,Artist Q9,classical,25.0,0.159,0.098,-16.53,0.0,1.0,0.9,0.657,108.22,297900
t128,Track 128,Artist V3,k-pop,87.0,0.565,1.0,-1.8,0.108,0.18,0.095,0.611,76.47,169110
t129,Track 129,Artist C1,hip-hop,59.0,0.673,1.0,-4.51,0.362,0.227,0.038,0.205,155.2,153431
t130,Track 130,Artist N10,pop,79.0,0.793,0.627,-10.53,0.142,0.317,0.581,0.496,125.91,203999
t131,Track 131,Artist W7,pop,52.0,0.551,0.674,-8.66,0.056,0.037,0.011,0.419,106.04,254623
t132,Track 132,Artist Y6,rock,65.0,0.64,1.0,-0.57,0.151,0.418,0.39,0.455,193.75,136587
t133,Track 133,Artist J14,hip-hop,50.0,0.679,0.852,-6.05,0.339,0.255,0.143,0.39,100.32,201223
t134,Track 134,Artist F13,lo-fi,67.0,0.565,0.462,-10.85,0.259,0.534,0.221,0.551,69.81,255556
t135,Track 135,Artist R9,edm,93.0,0.911,0.833,-2.01,0.087,0.0,0.0,0.58,112.34,184244
t136,Track 136,Artist M14,k-pop,55.0,0.823,0.607,-9.09,0.175,0.131,0.0,0.172,87.29,182593
t137,Track 137,Artist C13,folk,55.0,0.738,0.398,-12.97,0.08,0.76,0.06,0.317,153.4,268050
t138,Track 138,Artist M2,rock,36.0,0.346,0.781,-4.62,0.081,0.062,0.0,0.634,114.05,168764
t139,Track 139,Artist C10,rock,62.0,0.578,0.706,-7.25,0.058,0.375,0.201,0.62,179.26,251189
t140,Track 140,Artist T10,rock,35.0,0.217,0.755,-7.32,0.078,0.118,0.071,0.448,70.65,188120
t141,Track 141,Artist M8,pop,83.0,0.645,0.513,-11.82,0.062,0.441,0.095,0.472,148.89,186317
t142,Track 142,Artist W10,folk,50.0,0.333,0.225,-15.34,0.105,0.542,0.0,0.325,92.46,217535
t143,Track 143,Artist Q13,hip-hop,60.0,0.682,0.71,-6.67,0.317,0.168,0.277,0.381,142.71,159723
t144,Track 144,Artist W13,k-pop,96.0,0.641,0.674,-8.92,0.119,0.542,0.088,0.576,102.23,200063
t145,Track 145,Artist C4,jazz,50.0,0.592,0.617,-9.15,0.0,0.759,0.226,0.24,116.07,195422
t146,Track 146,Artist K6,r&b,58.0,0.741,0.516,-10.13,0.046,0.071,0.0,0.352,122.08,187400
t147,Track 147,Artist Z1,pop,70.0,0.908,0.541,-8.69,0.003,0.352,0.0,0.518,76.95,106105
t148,Track 148,Artist O4,hip-hop,77.0,0.854,0.34,-14.71,0.27,0.0,0.048,0.431,85.63,127740
t149,Track 149,Artist W1,k-pop,80.0,0.601,0.651,-12.36,0.033,0.0,0.118,0.731,152.67,180911
t150,Track 150,Artist H4,k-pop,86.0,0.904,0.82,-2.36,0.025,0.374,0.0,0.632,122.61,215213
t151,Track 151,Artist A3,rock,70.0,0.572,0.877,-4.41,0.085,0.2,0.0,0.103,136.15,164222
t152,Track 152,Artist V13,metal,53.0,0.554,0.644,-10.27,0.03,0.007,0.0,0.545,100.68,344547
t153,Track 153,Artist J3,hip-hop,75.0,1.0,0.839,-2.56,0.399,0.053,0.0,0.239,149.03,259299
t154,Track 154,Artist H5,ambient,49.0,0.199,0.347,-15.03,0.109,1.0,0.357,0.313,140.34,318075
t155,Track 155,Artist K7,country,70.0,0.464,0.526,-12.74,0.098,0.533,0.072,0.605,107.37,164660
t156,Track 156,Artist R10,classical,63.0,0.435,0.281,-16.04,0.016,0.962,0.168,0.535,91.38,265804
t157,Track 157,Artist C2,lo-fi,32.0,0.41,0.304,-15.25,0.125,0.311,0.364,0.242,128.36,72131
t158,Track 158,Artist Z11,pop,90.0,0.957,0.47,-11.15,0.14,0.045,0.0,0.645,157.52,182659
t159,Track 159,Artist X3,lo-fi,71.0,0.904,0.296,-10.19,0.124,0.607,0.364,0.47,128.12,161031
t160,Track 160,Artist W14,pop,76.0,0.706,0.606,-7.96,0.056,0.203,0.0,0.424,60.83,184028
t161,Track 161,Artist V5,metal,71.0,0.423,1.0,-4.37,0.084,0.0,0.262,0.154,128.09,152169
t162,Track 162,Artist R1,reggaeton,76.0,0.973,0.617,-8.87,0.123,0.176,0.151,0.902,151.48,260783
t163,Track 163,Artist X0,hip-hop,66.0,0.929,0.694,-7.72,0.315,0.088,0.456,0.862,145.59,204585
t164,Track 164,Artist L11,blues,68.0,0.843,0.402,-14.76,0.188,0.587,0.0,0.618,127.87,250288
t165,Track 165,Artist N14,reggaeton,70.0,0.817,0.627,-7.52,0.0,0.073,0.346,0.281,133.13,183663
t166,Track 166,Artist R12,rock,55.0,0.642,0.702,-7.54,0.087,0.107,0.019,0.489,117.96,276837
t167,Track 167,Artist D4,indie,51.0,0.475,0.446,-12.21,0.16,0.341,0.14,0.398,100.9,330237
t168,Track 168,Artist K11,pop,98.0,0.725,0.687,-7.67,0.122,0.255,0.0,0.854,176.78,157078
t169,Track 169,Artist L6,rock,51.0,0.659,0.771,-6.81,0.074,0.376,0.0,0.3,78.94,218238
t170,Track 170,Artist H12,hip-hop,86.0,1.0,0.739,-7.53,0.321,0.0,0.0,0.529,131.79,152893
t171,Track 171,Artist O11,hip-hop,54.0,0.836,0.636,-7.36,0.389,0.136,0.294,0.27,126.07,200755
t172,Track 172,Artist A1,rock,72.0,0.409,0.993,-3.13,0.003,0.0,0.0,0.385,73.65,211870
t173,Track 173,Artist Y3,reggaeton,73.0,0.914,0.769,-6.06,0.119,0.266,0.0,0.639,94.89,314842
t174,Track 174,Artist J10,rock,35.0,0.726,1.0,-4.56,0.242,0.053,0.07,0.484,124.98,219061
t175,Track 175,Artist Y3,hip-hop,61.0,0.592,0.677,-7.13,0.377,0.024,0.0,0.484,113.37,156646
t176,Track 176,Artist P3,rock,56.0,0.277,0.878,-4.95,0.159,0.137,0.27,0.629,124.71,142992
t177,Track 177,Artist H0,indie,34.0,0.697,0.423,-9.89,0.08,0.658,0.135,0.553,100.98,198636
t178,Track 178,Artist I9,rock,50.0,0.317,0.608,-13.8,0.051,0.213,0.473,0.382,140.64,219335
t179,Track 179,Artist X6,rock,61.0,0.364,0.795,-6.8,0.132,0.013,0.211,0.57,105.37,310136
t180,Track 180,Artist L4,r&b,63.0,0.958,0.547,-12.91,0.167,0.129,0.0,0.474,108.37,241106
t181,Track 181,Artist R4,jazz,76.0,0.372,0.289,-14.57,0.019,0.661,0.0,0.188,118.59,170534
t182,Track 182,Artist W12,country,84.0,0.525,0.69,-4.12,0.143,0.142,0.117,0.768,91.85,192075
t183,Track 183,Artist W3,rock,56.0,0.332,0.861,-8.91,0.195,0.527,0.0,0.369,114.48,201634
t184,Track 184,Artist L7,hip-hop,91.0,0.936,0.651,-8.14,0.403,0.273,0.0,0.497,118.8,155038
t185,Track 185,Artist B15,lo-fi,24.0,0.505,0.336,-12.47,0.047,0.509,0.647,0.535,126.03,269528
t186,Track 186,Artist V8,reggaeton,75.0,0.994,0.718,-7.0,0.229,0.244,0.0,0.193,77.26,273999
t187,Track 187,Artist N13,reggaeton,59.0,0.917,0.833,-1.87,0.15,0.352,0.193,0.522,91.92,226625
t188,Track 188,Artist Y12,jazz,68.0,0.722,0.392,-11.72,0.171,0.417,0.148,0.584,133.63,237978
t189,Track 189,Artist E0,hip-hop,76.0,0.495,0.929,-3.84,0.307,0.411,0.0,0.503,90.85,97878
t190,Track 190,Artist H15,indie,52.0,0.513,0.621,-11.09,0.069,0.222,0.0,0.358,102.76,210363
t191,Track 191,Artist I15,ambient,49.0,0.58,0.224,-19.22,0.124,0.913,0.447,0.244,78.39,108796
t192,Track 192,Artist R14,pop,79.0,0.577,0.91,-1.87,0.0,0.139,0.0,0.455,89.28,142021
t193,Track 193,Artist E7,indie,62.0,0.693,0.431,-12.8,0.196,0.395,0.0,0.302,111.48,168557
t194,Track 194,Artist S1,rock,73.0,0.652,0.802,-4.17,0.217,0.177,0.246,0.575,61.1,298702
t195,Track 195,Artist X11,ambient,29.0,0.178,0.182,-18.33,0.07,0.694,0.618,0.474,114.36,95485
t196,Track 196,Artist K1,reggaeton,51.0,0.662,0.599,-5.02,0.054,0.0,0.263,0.916,127.3,166960
t197,Track 197,Artist F5,hip-hop,76.0,0.791,0.872,-1.19,0.307,0.296,0.0,0.685,88.56,280872
t198,Track 198,Artist S0,rock,37.0,0.379,0.54,-8.97,0.075,0.411,0.107,0.853,151.21,178990
t199,Track 199,Artist X0,lo-fi,46.0,0.572,0.365,-13.96,0.062,0.359,0.626,0.52,146.6,209689
t200,Track 200,Artist F8,rock,72.0,0.617,0.892,-4.72,0.053,0.382,0.0,0.195,106.39,220306
t201,Track 201,Artist Z7,pop,68.0,0.88,0.525,-8.89,0.067,0.379,0.0,0.497,,277541
t202,Track 202,Artist R0,hip-hop,65.0,0.785,0.686,-7.46,0.398,0.08,0.105,0.0,64.91,224651
t203,Track 203,Artist A2,pop,67.0,0.598,0.68,-5.38,0.065,0.095,0.064,0.434,117.56,267376
t204,Track 204,Artist O4,indie,48.0,0.449,0.616,-9.47,0.145,0.21,0.157,0.799,109.85,297900
t205,Track 205,Artist W2,ambient,26.0,0.382,0.259,-18.01,0.066,0.769,0.366,0.045,129.4,233509
t206,Track 206,Artist J2,rock,76.0,0.693,0.915,-4.72,0.044,0.659,0.015,0.658,93.59,40000
t207,Track 207,Artist O9,reggaeton,81.0,0.852,0.868,-6.5,0.177,0.239,0.309,0.961,105.2,126688
t208,Track 208,Artist K3,hip-hop,65.0,0.792,0.625,-9.54,0.312,0.146,0.028,0.644,141.93,224483
t209,Track 209,Artist J9,country,44.0,0.624,0.559,-8.12,0.105,0.279,0.0,0.313,88.37,250749
t210,Track 210,Artist G12,lo-fi,48.0,0.731,0.173,-17.75,0.078,0.507,0.716,0.519,126.55,164930
t211,Track 211,Artist U4,jazz,57.0,0.575,0.237,-17.27,0.062,0.712,0.117,0.453,133.19,358903
t212,Track 212,Artist F5,jazz,54.0,0.758,0.294,-15.14,0.077,0.604,0.0,0.36,122.66,176405
t213,Track 213,Artist B1,blues,61.0,0.626,0.745,-4.55,0.073,0.599,0.102,0.663,164.59,274959
t214,Track 214,Artist J4,r&b,50.0,0.364,0.433,-12.08,0.121,0.179,0.223,0.155,118.13,109465
t215,Track 215,Artist L1,k-pop,60.0,0.539,1.0,-1.16,0.044,0.337,0.0,0.729,144.16,166849
t216,Track 216,Artist A4,folk,66.0,0.587,0.223,-19.76,0.082,0.687,0.0,0.549,96.05,176674
t217,Track 217,Artist W1,indie,69.0,0.552,0.583,-7.27,0.083,0.477,0.154,0.415,130.88,219242
t218,Track 218,Artist G3,pop,62.0,0.698,0.832,-9.18,0.01,0.425,0.01,0.595,155.46,216471
t219,Track 219,Artist G11,rock,49.0,0.285,0.855,-0.78,0.084,0.248,0.0,0.428,88.52,75178
t220,Track 220,Artist E13,reggaeton,59.0,0.534,1.0,0.0,0.146,0.331,0.155,0.598,130.21,198729
t221,Track 221,Artist W2,lo-fi,37.0,0.352,0.273,-16.3,0.0,0.916,0.5,0.387,127.48,116422
t222,Track 222,Artist V5,edm,48.0,0.774,0.779,-5.52,0.107,0.188,0.053,0.355,91.61,273833
t223,Track 223,Artist U14,reggaeton,68.0,0.926,0.665,-6.18,0.15,0.099,0.0,0.554,138.2,174402
t224,Track 224,Artist V7,k-pop,72.0,0.696,0.734,-7.31,0.103,0.425,0.227,0.92,163.09,207402
t225,Track 225,Artist B2,r&b,67.0,0.5,0.587,-10.05,0.129,0.535,0.21,0.446,50.0,270059
t226,Track 226,Artist L3,pop,78.0,0.568,0.841,-4.09,0.069,0.136,0.0,0.79,80.66,231679
t227,Track 227,Artist H14,folk,49.0,0.333,0.144,-16.95,0.006,1.0,0.0,0.207,135.08,248351
t228,Track 228,Artist V4,pop,74.0,0.83,0.525,-11.76,0.13,0.399,0.0,0.667,129.39,216558
t229,Track 229,Artist Z11,indie,69.0,0.582,0.414,-11.76,0.106,0.356,0.107,0.426,78.27,206781
t230,Track 230,Artist A9,pop,73.0,0.748,0.736,-8.5,0.0,0.582,0.572,0.711,140.57,159262
t231,Track 231,Artist Z10,metal,66.0,0.722,1.0,-4.05,0.168,0.101,0.152,0.619,79.02,295593
t232,Track 232,Artist A4,edm,100.0,0.799,1.0,0.0,0.01,0.171,0.152,0.618,132.14,254721
t233,Track 233,Artist Z12,metal,55.0,0.584,0.901,-7.02,0.031,0.222,0.16,0.512,132.05,138979
t234,Track 234,Artist K14,hip-hop,69.0,0.897,0.563,-11.14,0.264,0.31,0.0,0.389,88.22,178044
t235,Track 235,Artist R2,lo-fi,77.0,0.416,0.137,-15.48,0.12,0.632,0.312,0.461,147.24,189561
t236,Track 236,Artist P10,pop,75.0,0.737,0.526,-9.04,0.137,0.0,0.0,0.46,120.11,180542
t237,Track 237,Artist O10,jazz,35.0,0.62,0.273,-16.26,0.116,0.471,0.0,0.842,173.71,144361
t238,Track 238,Artist C6,lo-fi,43.0,0.798,0.159,-16.38,0.177,0.406,0.712,0.474,134.65,102131
t239,Track 239,Artist T4,rock,70.0,0.316,0.526,-12.8,0.06,0.248,0.0,0.439,103.25,303846
